,time,cycles,instructions,branch-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,cpi
226,45.47207858,607128446,1044870483,6096145,136244,41073,61545,11792022,12087184,74293,148380,0.581056175
227,45.67236676,605708853,1035550012,6090906,103323,37185,48674,14752172,8899648,94795,178504,0.584915114
228,45.87269175,604160510,1045312938,5902343,199515,34161,43333,15043188,10623174,129232,154396,0.577970948
229,46.07301179,593618225,971677831,4846798,303106,55819,23396,19890491,6256463,245924,264263,0.610920828
230,46.27334766,589343272,931426223,4394859,396919,35147,6813,21352613,2952560,419653,170187,0.632732102
231,46.47370336,559063324,904584690,3553836,272399,39738,14053,13351573,3236771,634934,252102,0.618033148
232,46.6740296,559620841,772321709,3701492,298931,33691,15532,15575136,4693296,516224,195162,0.724595508
233,46.87435454,546009472,871471105,3407463,341019,23781,6361,13307660,3936701,646201,128172,0.626537666
234,47.07468353,578175006,912937111,4521035,225082,33090,31101,11757068,5711650,474795,225632,0.633313072
235,47.27503037,564459556,923223804,3372609,400332,40026,12167,13811252,4377999,458840,167753,0.611400566
236,47.47536553,559136226,809707693,3984434,239105,31214,19143,13903929,3915178,433598,240996,0.690540834
237,47.67569388,574567764,916240352,4036913,301923,41668,25492,11449797,6280806,385835,145816,0.627092839
238,47.87600805,599602530,999481809,5514098,257211,36826,29412,15005852,5898717,145294,173935,0.5999134
239,48.07629736,600308786,997430952,6047287,140460,39849,52916,14700089,9020720,121256,150084,0.60185498
240,48.27657973,596092676,909974061,5510738,252770,34170,34294,16872183,7767047,215486,208940,0.655065569
241,48.47687291,590723826,862557663,5715283,132163,42390,100649,9211452,13237063,196835,167615,0.684851403
242,48.67716064,500588482,647673855,3764032,521734,27460,46210,9518219,8158942,831395,155747,0.772902099
243,48.87748534,599504581,1049455781,5244041,234182,34254,65201,12614083,11912638,146573,147506,0.571252826
244,49.0777905,604401084,998742379,5999328,137367,41096,46484,14500979,8618311,92805,129358,0.605162149
245,49.27812273,600103884,997848406,5662075,211893,33674,28950,16239470,7399775,174776,204282,0.601397848
246,49.47843713,600817124,986142864,5858463,171805,41888,42911,13944372,7899864,117909,144557,0.609259719
247,49.6787896,596726843,973445109,5840967,103502,38198,54571,13163405,10679220,164980,196399,0.613005127
248,49.87910872,601002233,980428259,6222387,127640,37658,57884,13092233,10407485,121772,176506,0.612999704
249,50.07944353,598586277,976277940,6110574,118109,38634,62073,11480039,11084960,161595,179152,0.613131008
250,50.27976504,597768021,1009847563,5569879,132814,34314,43934,13032922,8812388,151645,147547,0.591938866
